IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,1068,1367.5,1,0,1,126,7,42,19,172.722,168.651,160.437,3.75058,3.60134,4.03811
1,684,1366.5,1,0,1,118,7,36,19,178.585,173.805,166.788,3.79323,4.29935,5.09599
1,1205.6,1335.2,1,0,1,114,6,32,20,165.965,159.254,151.088,3.29771,3.74601,4.52077
1,1100.68,1321.24,1,0,1,216,9,30,15,174.389,169.435,163.718,4.69893,5.60027,7.11607
1,634,1307,1,0,1,55,6,32,17,180.055,174.564,168.582,3.85669,2.9331,3.20488
1,958.25,1306.75,1,0,1,167,8,42,11,175.335,172.964,167.731,3.4656,4.33174,5.9105
1,438.792,1305.16,1,0,1,402,12,38,17,175.739,171.562,164.607,4.66494,4.75458,6.99583
1,1030.5,1300,1,0,1,174,8,32,17,176.006,171.161,165.247,3.87977,4.16182,5.07288
1,611,1293,1,0,1,29,4,36,23,179.724,173.793,165.172,2.99822,1.96058,3.21389
1,974,1294.5,1,0,1,174,8,38,17,176.983,173.259,165.851,3.25774,4.45527,7.3933
1,929,1286.5,1,0,1,89,6,38,17,176.91,172.955,166.225,4.53677,3.54801,5.32332
1,1120,1285,1,0,1,189,8,34,13,172.545,168.989,164.053,3.88663,3.92225,6.40795
1,676.75,1278.75,1,0,1,134,8,40,18,177.828,173.91,165.724,4.5377,4.51428,6.43399
1,772.5,1268.5,1,0,1,49,5,32,17,176.367,171.408,164.592,3.6931,3.05951,3.7842
1,627.5,1263.5,1,0,1,180,8,44,13,179.444,176.644,171.317,3.24653,4.93365,5.9165
1,797,1260.5,1,0,1,80,6,48,16,177.688,175.713,168.338,4.96104,3.34091,4.71465
1,1236,1262.5,1,0,1,92,6,36,18,169.522,164.924,157,4.02697,3.75537,5.15462
1,1211,1253,1,0,1,27,4,38,15,167.815,164.074,157.037,2.611,2.96122,2.07088
1,543,1256,1,0,1,54,5,36,18,175.389,169.611,162.556,2.52044,1.98914,2.57135
1,1079.75,1256.75,1,0,1,164,8,40,14,175.366,172.03,166.494,3.62963,4.53109,6.52323
1,1263,1246,1,0,1,54,5,54,14,166.111,164.611,156.407,4.25842,4.2456,4.26893
1,1207,1236,1,0,1,28,4,40,12,167,163.536,158.179,2.25357,2.47557,2.33774
1,621,1239.5,1,0,1,183,9,30,13,180.377,176.06,171.891,3.45282,4.58377,5.67046
1,1279.73,1234.85,1,0,1,130,7,50,15,167.392,164.685,156.446,4.08718,4.64382,6.12919
1,1164,1225,1,0,1,42,4,30,18,174.381,168.119,162.476,2.92666,2.45082,3.57495
1,809.5,1224,1,0,1,29,4,24,20,179.241,171.207,166.448,3.34381,3.09069,3.89573
1,367,1227,1,0,1,304,10,30,18,178.214,172.066,165.661,3.55409,4.75337,5.07419
1,1029,1178.5,1,0,1,38,4,40,9,175.132,172.895,169.368,3.1542,2.50069,2.93881
1,1187.5,1175,1,0,1,29,4,70,8,165.793,166.897,161.483,2.49434,2.44663,2.63202
1,1004.7,1175.4,1,0,1,47,5,48,15,175.702,174.021,166.468,2.61001,2.97311,4.99921
1,817.25,1175.75,1,0,1,75,5,34,11,177.76,175.053,171.253,3.22615,3.04544,5.7752
1,1295,1178,1,0,1,167,8,38,15,169.329,164.916,158.03,4.30205,3.48688,4.24162
1,1097.5,1158.5,1,0,1,81,5,26,10,170.037,166.481,162.642,2.55908,3.31533,4.19455
1,1317,1153.5,1,0,1,273,10,34,10,168.44,165.469,161.168,3.48752,3.72553,5.83813
1,408,1145.5,1,0,1,89,6,60,10,178.09,177.517,171.933,2.90588,2.67676,4.31424
1,465.5,1141,1,0,1,36,4,48,15,176.75,174.639,167.056,2.29904,2.10937,3.10745
1,360.269,1141.65,1,0,1,307,10,26,11,179.873,175.912,172.56,4.1695,4.27194,4.92836
1,813,1122,1,0,1,54,5,40,14,179.444,176.037,170.148,5.34471,3.34096,4.82684
1,1417.54,1118.83,1,0,1,86,6,36,15,161.023,156.058,149.105,3.14572,3.62526,4.1254
1,481,1112,1,0,1,89,7,60,11,177.989,178.303,171.011,3.60723,3.33394,6.6479
1,216.5,1112.5,1,0,1,230,9,40,17,173.352,168.67,161.383,4.45434,4.08213,6.13654
1,718,1106.5,1,0,1,32,4,36,16,178.688,175.438,169.344,2.28544,2.39054,3.04036
1,789.5,1103,1,0,1,52,5,44,7,178.981,177.904,175.038,3.73503,3.33089,4.49154
1,385.845,1104.36,1,0,1,146,7,30,13,180.233,176.377,172.151,3.71233,3.57794,5.48337
1,1024.5,1103,1,0,1,54,5,34,11,174.926,172.093,168.241,4.21945,3.31155,3.63126
1,500.5,1100,1,0,1,46,4,20,14,179.217,173.348,169.804,2.45831,2.79634,2.24446
1,557.5,1094.5,1,0,1,81,5,24,8,179.074,176.123,173.63,3.20984,3.24644,4.44066
1,474.735,1092.44,1,0,1,89,6,42,11,180.169,178.101,173.281,5.25912,4.2535,5.58132
1,935,1092.5,1,0,1,92,6,60,9,175.772,175.728,170.185,3.03824,3.34105,4.79625
1,1083.5,1085,1,0,1,29,4,26,14,176.448,170.966,167.207,3.41527,3.14127,4.42787
1,1216.11,1086.99,1,0,1,185,8,40,13,172.157,169.389,162.714,3.40771,5.1014,7.47649
1,681,1082.5,1,0,1,46,4,0,7,180.63,177.391,177.065,2.69858,2.20647,3.9222
1,385.5,1082.5,1,0,1,92,6,34,11,179.163,176.141,172.109,3.70377,3.25341,3.46478
1,1421.5,1080,1,0,1,253,9,50,14,162.858,161.245,151.759,3.86238,4.30218,5.90957
1,804,1074,1,0,1,45,4,44,13,177.889,175.511,169.667,3.40575,3.18706,3.41293
1,1246,1061,1,0,1,29,4,36,14,169.138,165.448,158.966,3.48754,2.2754,3.05917
1,712,1053,1,0,1,51,5,34,12,180.549,177.529,174.451,4.43176,3.3377,4.24982
1,642,1050,1,0,1,49,5,40,10,179.082,176.755,172.51,1.89981,3.78136,4.10446
1,1031.25,1039.75,1,0,1,63,5,60,6,177.016,177.079,173.079,3.2289,2.4508,3.69215
1,842.5,1042.5,1,0,1,80,6,44,6,177.35,176.1,173.388,3.17428,3.26716,4.08421
1,646.75,1037.75,1,0,1,35,4,26,14,180.057,175.229,171.114,3.12392,3.04361,3.37573
1,260,1038.5,1,0,1,89,6,36,16,178.292,174.202,167.91,3.39945,3.21932,3.93618
1,561.5,1028,1,0,1,28,4,34,11,178.429,174.75,171.429,3.48465,2.9016,2.72023
1,430.5,1022,1,0,1,42,4,36,20,179.286,173.595,166.095,2.31449,3.22603,4.53088
1,957.75,1022.75,1,0,1,89,6,60,2,177.404,176.888,175.663,3.29175,3.55914,4.11915
1,1266,997,1,0,1,39,4,82,11,164.385,166.641,159.385,2.4432,2.25038,3.08309
1,533,992,1,0,1,27,4,48,8,180.481,178.778,174.593,3.18362,3.69888,2.92948
1,1293.25,986.25,1,0,1,93,6,54,13,168.72,167.57,160.355,4.23743,3.30193,3.72245
1,513.7,985.6,1,0,1,79,6,30,10,182.342,179.139,175.709,2.66791,3.30428,5.56223
1,204,991.5,1,0,1,344,11,40,14,178.16,174.584,168.904,4.15685,4.489,6.47665
1,827,978,1,0,1,39,4,60,3,179.436,178.795,177.077,2.6763,2.89709,3.00492
1,377,970.5,1,0,1,89,6,52,13,180.584,179.618,172.517,3.84747,3.928,5.09196
1,710.912,965.647,1,0,1,63,5,40,10,178.349,176.095,172.333,2.79203,4.02746,4.00264
1,270,965.5,1,0,1,118,7,10,10,181.686,177.432,175.525,3.80949,4.26377,4.94606
1,450.5,962.5,1,0,1,145,7,76,7,178.359,178.745,174.503,4.08204,4.25424,6.34999
1,652,961,1,0,1,124,7,44,16,174.927,171.758,164.298,3.60636,4.14533,5.46127
1,435.75,949.75,1,0,1,120,6,44,7,181.475,179.792,176.517,4.10097,4.13554,5.14725
1,280.2,943.9,1,0,1,166,7,42,12,180.753,178.988,173.566,4.39638,4.09486,4.43684
1,481.25,937.75,1,0,1,124,7,90,7,178.718,181.048,176.532,3.38463,4.36216,7.1243
1,1008.5,928,1,0,1,46,4,80,10,176.565,179.261,173.457,2.52732,3.12065,2.82622
1,165,929.5,1,0,1,358,11,38,17,177.885,173.735,167.355,3.83647,4.87002,5.59169
1,362,906,1,0,1,49,5,72,8,179.51,181.429,176.449,3.80031,2.92725,3.30404
1,1063,905,1,0,1,64,5,60,6,177.141,177.438,172.547,2.467,3.08323,4.08692
1,423,904.5,1,0,1,77,6,52,12,182.182,181.169,175.13,3.31162,2.84745,4.26871
1,1286.75,903.25,1,0,1,89,6,52,11,169.854,168.685,162.247,3.33945,3.17543,4.25432
1,1122.62,898.577,1,0,1,87,6,44,6,175.724,175.31,171.575,3.51748,4.09731,5.61041
1,1306,890,1,0,1,51,5,48,14,169.784,167.922,159.51,2.94345,1.96697,3.19064
1,325.5,889.5,1,0,1,86,6,26,11,179.547,175.988,172.663,4.00642,4.20063,3.74332
1,808.5,879,1,0,1,51,5,120,3,180.961,183.412,180.569,3.31754,2.75093,3.73148
1,276.338,883.397,1,0,1,232,9,50,10,181.06,179.961,174.526,3.45753,4.96463,6.14691
1,1524.5,875,1,0,1,45,4,42,16,157.111,153.311,144.2,3.51416,2.67096,5.3492
1,544,871,1,0,1,57,6,40,10,180.421,178.175,173.614,3.70118,4.19057,4.28075
1,423,866,1,0,1,48,5,60,8,181,180.604,175.979,3.59808,3.38694,3.54534
1,391.39,867.488,1,0,1,119,7,44,7,181.042,180.328,176.622,3.98567,4.0045,4.27453
1,983.5,858,1,0,1,33,4,44,6,177.636,176.818,173.545,1.97912,2.08585,3.1755
1,1513.5,857.5,1,0,1,137,7,60,13,157.54,157.504,147.956,3.40442,3.29288,4.82628
1,435.5,847.5,1,0,1,53,4,46,15,181.642,180.057,172.925,3.79551,2.84713,3.9706
1,1379.5,842,1,0,1,208,9,60,13,167.639,167.812,159.212,3.17056,2.95587,4.9203
1,1272.05,836.693,1,0,1,215,9,76,6,172.2,173.065,168.567,3.45556,3.84408,5.45065
1,878,832,1,0,1,111,7,80,5,179.315,180.108,176.757,2.95435,2.99256,4.8443
1,385.5,830,1,0,1,29,4,42,16,180.276,176.724,169.655,3.88751,2.72,2.97005
1,975.35,817.45,1,0,1,21,4,60,6,177.714,177.714,174.143,2.93077,2.31449,2.52083
1,411,817,1,0,1,61,5,48,8,181.426,179.77,176.098,3.12293,4.34563,4.09788
1,1442.5,815.5,1,0,1,230,9,60,11,165.935,165.783,158.1,3.36277,4.14237,5.19767
1,250,812.5,1,0,1,89,6,44,13,180.618,178.831,172.921,3.42416,4.02141,4.84306
1,777,806,1,0,1,48,5,90,4,182.938,183.562,182.021,2.58648,3.32653,3.30479
1,310.5,800,1,0,1,50,5,30,16,181.52,177.2,172.48,3.65511,4.2619,4.86906
1,411,784,1,0,1,27,4,44,6,177,176.333,172.741,3.68052,3,4.31766
1,1535,776.5,1,0,1,84,6,50,16,155.75,154.179,142.75,3.50654,2.61953,3.81101
1,532,773,1,0,1,39,4,48,8,182.231,181.128,176.949,2.07325,3.38778,3.60127
1,338.721,770.868,1,0,1,169,8,52,12,181.757,180.698,174.911,3.51746,3.71486,4.83203
1,1510.7,751.6,1,0,1,226,9,54,14,162.752,162.022,152.257,4.25068,4.84943,5.83036
1,91.15,744.95,1,0,1,89,6,32,18,169.169,162.899,155.921,4.22642,4.58851,5.45508
1,274.462,737.692,1,0,1,113,6,52,11,180.389,178.814,172.673,3.31744,3.56093,3.89474
1,690,722.5,1,0,1,77,6,90,3,181.091,182.455,180.364,3.83385,4.3441,4.12472
1,1462,720,1,0,1,171,8,60,11,164.199,163.871,156.135,3.74367,3.72863,5.128
1,1331,696,1,0,1,48,5,60,13,168.625,169.229,160.354,2.05327,2.51712,2.96309
1,696.6,672.3,1,0,1,28,4,20,10,184,180.179,178.179,4.12821,3.17212,2.22631
1,1133.5,669.5,1,0,1,28,4,52,11,175.429,174.429,168.286,2.44984,2.47427,3.11891
1,1222.5,669,1,0,1,84,6,68,12,172.643,173.655,166.405,3.74575,3.93377,5.04475
1,231,667.5,1,0,1,134,7,48,16,179.896,177.5,170.463,3.72979,3.59376,4.74894
1,768.25,649.25,1,0,1,88,5,76,7,181.807,182.693,178.727,2.5215,3.45115,3.14649
1,1277,655,1,0,1,238,9,70,9,168.857,170.088,163.765,3.35962,4.19213,4.83089
1,707.5,639,1,0,1,48,4,30,3,182.458,180.729,180.104,3.7985,3.07906,3.68669
1,798.8,635.6,1,0,1,43,4,140,5,178.256,181.233,179.07,2.34844,4.09416,3.64483
1,1358.5,635,1,0,1,29,4,54,13,169,167.69,160.069,2.81944,2.44087,2.76031
1,1517.4,633.067,1,0,1,236,10,46,11,159.419,156.966,149.585,3.36632,4.94868,4.90746
1,883.5,625.5,1,0,1,90,6,78,12,179.322,181.178,174.222,3.20518,3.76316,5.59415
1,571,614.5,1,0,1,92,6,0,5,183.163,180.217,180.25,3.03383,4.37132,4.38675
